,Long,Lat,GDP_PPP,population,nightlight
0,17.040416600328676,-28.875416330093998,6434.1006,0.4545725,0.034315236
1,17.040416600328676,-29.042082996093995,1830.0916,389.3945,0.035338115
2,17.040416600328676,-29.208749662094,14.689675,4.411613,0.042786278
3,17.207083266328677,-28.708749664093993,24302.477,4.1391897,0.014169239
4,17.207083266328677,-29.542082994094006,24.853342,22.972916,0.033883147
5,17.207083266328677,-29.708749660093996,1295.9789,38.23602,0.039170474
6,17.37374993232868,-29.708749660093996,101519.69,113.6772,0.029675016
7,17.37374993232868,-29.875416326093994,23844.502,62.861015,0.033910338
8,17.540416598328676,-28.875416330093998,10.47843,26.04621,0.008556736
9,17.540416598328676,-29.208749662094,8.579367,5.4352765,0.025996536
10,17.540416598328676,-29.375416328093998,93.507034,18.517519,0.023513207
11,17.540416598328676,-29.542082994094006,251.1462,95.46594,0.02578121
12,17.540416598328676,-29.708749660093996,22553.053,943.8452,0.043913655
13,17.540416598328676,-29.875416326093994,29.404774,3430.4788,0.031972323
14,17.540416598328676,-30.042082992094002,6513.5225,278.88623,0.030293597
15,17.540416598328676,-30.208749658094,61.93515,13.936157,0.027925583
16,17.540416598328676,-30.375416324093997,87.50268,18.117033,0.028655116
17,17.540416598328676,-30.542082990093995,49.06694,8.59797,0.026534796
18,17.70708326432868,-29.042082996093995,39.232674,2.288822,0.021314744
19,17.70708326432868,-29.208749662094,204196.8,8081.7163,0.07226393
20,17.70708326432868,-29.375416328093998,8971.269,82.44044,0.02640408
21,17.70708326432868,-29.542082994094006,125823.78,5661.578,0.112685464
22,17.70708326432868,-29.708749660093996,2858.3513,30.077173,0.019715948
23,17.70708326432868,-29.875416326093994,2056.6934,97.54863,0.014455498
24,17.70708326432868,-30.042082992094002,174.0392,18.81295,0.01674823
25,17.70708326432868,-30.208749658094,1896.2831,22.590532,0.021818915
26,17.70708326432868,-30.375416324093997,17864.266,537.2859,0.11237993
27,17.70708326432868,-30.708749656094,75.00508,15.023588,0.031587142
28,17.873749930328678,-29.042082996093995,260.8428,13.141187,0.029248834
29,17.873749930328678,-29.375416328093998,124.59033,3.7304602,0.028814843
30,17.873749930328678,-29.542082994094006,608743.75,11765.856,0.2519331
31,17.873749930328678,-29.708749660093996,89116.59,14488.177,0.4053524
32,17.873749930328678,-29.875416326093994,1146.0925,40.16112,0.020621875
33,17.873749930328678,-30.042082992094002,43.52082,18.108131,0.017281486
34,17.873749930328678,-30.208749658094,76892.02,975.99146,0.026228543
35,17.873749930328678,-30.375416324093997,81217.8,1429.6611,0.034382552
36,17.873749930328678,-30.542082990093995,46604.6,489.88583,0.028688282
37,17.873749930328678,-30.708749656094,2611.7842,12.501895,0.027769906
38,17.873749930328678,-30.875416322094004,3577.6707,3.915314,0.0299175
39,17.873749930328678,-31.042082988093995,6313.654,233.97737,0.028707953
40,18.040416596328676,-29.042082996093995,30.03736,72.464905,0.03760673
41,18.040416596328676,-29.542082994094006,6.585781,66.857956,0.03605062
42,18.040416596328676,-29.875416326093994,64.35213,16.135061,0.018548366
43,18.040416596328676,-30.042082992094002,113.190544,4.1105,0.010922748
44,18.040416596328676,-30.208749658094,37453.04,54.408607,0.0103341015
45,18.040416596328676,-30.375416324093997,1344.5356,1169.8547,0.015257417
46,18.040416596328676,-30.542082990093995,149.3249,2265.3757,0.045036744
47,18.040416596328676,-30.708749656094,8233.046,14.749844,0.027182886
48,18.040416596328676,-30.875416322094004,78606.125,2611.737,0.031941105
49,18.040416596328676,-31.208749654094,80.55289,31.69116,0.076012336
50,18.040416596328676,-32.87541631409399,856463.8,47533.72,1.8184922
51,18.207083262328677,-29.542082994094006,4.4269557,9.653436,0.021551283
52,18.207083262328677,-29.875416326093994,0.94255006,7.2523117,0.017410375
53,18.207083262328677,-30.042082992094002,13966.866,668.47406,0.016307388
54,18.207083262328677,-30.208749658094,38.147762,459.38565,0.014660584
55,18.207083262328677,-30.375416324093997,10973.968,417.00818,0.015017995
56,18.207083262328677,-30.542082990093995,68.113045,11.94104,0.016288433
57,18.207083262328677,-30.708749656094,40.99643,2.378539,0.02092902
58,18.207083262328677,-30.875416322094004,100.79506,5.71524,0.024423104
59,18.207083262328677,-31.042082988093995,34705.355,1138.175,0.040756505
60,18.207083262328677,-31.208749654094,742.6665,44.519154,0.030098835
61,18.207083262328677,-31.375416320094,16689.703,263.1869,0.08267628
62,18.207083262328677,-31.542082986093998,172687.72,4336.063,inf
63,18.207083262328677,-32.87541631409399,21520.498,362.24454,0.106403366
64,18.207083262328677,-33.042082980093994,127396.84,1389.4198,0.115053184
65,18.373749928328678,-29.042082996093995,29.244495,1.8755126,0.025885494
66,18.373749928328678,-29.208749662094,1722.5448,46.834866,0.025337743
67,18.373749928328678,-29.875416326093994,3.4650605,12.377359,0.01802227
68,18.373749928328678,-30.042082992094002,573.9597,3.273816,0.014407629
69,18.373749928328678,-30.208749658094,2189.6277,16.113071,0.015242051
70,18.373749928328678,-30.375416324093997,248.24649,6.3801885,0.018618725
71,18.373749928328678,-30.708749656094,88.67115,1.226489,0.021468405
72,18.373749928328678,-30.875416322094004,30.92307,2.048408,0.02350762
73,18.373749928328678,-31.042082988093995,15287.787,9.355151,0.03097976
74,18.373749928328678,-31.375416320094,140.93842,73.19885,0.037506994
75,18.373749928328678,-31.542082986093998,383729.4,12661.673,0.205075
76,18.373749928328678,-31.708749652093992,32377.062,916.4893,0.038139854
77,18.373749928328678,-31.875416318093993,2483.9607,296.15573,0.026997883
78,18.373749928328678,-32.708749648094,37718.08,336.2868,0.030205633
