,Long,Lat,GDP_PPP_mean,GDP_PPP_sum,population,nightlight,hotdays,days_heat_index,temp,precip,precip_percnt,pc
40,17.498749931828677,-29.667082993594,13199.079,1319907.9,200.24142,0.02521579,0.0,0.0,0.44,-3.07,-2.56,6591.5825
41,17.498749931828677,-29.750416326594,392897.7,39289770.0,370.28143,0.028309355,0.0,0.0,0.44,-3.07,-2.56,106107.85
42,17.498749931828677,-29.833749659593998,95405.01,9540501.0,3414.352,0.061999086,0.0,0.0,0.44,-3.07,-2.56,2794.2346
43,17.498749931828677,-30.417082990594004,178.55621,17855.621,7.1427827,0.026730722,0.0,0.0,0.44,-3.07,-2.56,2499.813
44,17.58208326482868,-29.000416329593996,2.131404,213.14038,0.6486537,0.010232423,7.15,0.0,0.62,-0.47,-0.82,328.58887
45,17.58208326482868,-29.500416327594003,203.94478,20394.479,8.122678,0.013098874,2.6,0.0,0.54,-8.36,-3.97,2510.8074
46,17.58208326482868,-29.583749660594,176.13791,17613.791,2.8799186,0.014707838,2.6,0.0,0.54,-8.36,-3.97,6116.0728
47,17.58208326482868,-29.667082993594,29540.074,2954007.5,316.57312,0.102171384,2.6,0.0,0.54,-8.36,-3.97,9331.201
48,17.58208326482868,-29.833749659593998,22.187695,2218.7695,15.003725,0.020105906,2.6,0.0,0.54,-8.36,-3.97,147.88124
49,17.58208326482868,-30.083749658593995,3252.4082,325240.8,272.96725,0.03136246,2.6,0.0,0.54,-8.36,-3.97,1191.5012
50,17.58208326482868,-30.250416324594,274.7406,27474.06,2.2404888,0.023012126,2.6,0.0,0.54,-8.36,-3.97,12262.53
51,17.58208326482868,-30.333749657594,377.0107,37701.07,2.0764043,0.025355743,2.6,0.0,0.54,-8.36,-3.97,18156.902
52,17.58208326482868,-30.500416323594,118.92368,11892.368,1.9582888,0.024577035,5.05,0.0,0.52,27.2,-4.65,6072.837
53,17.58208326482868,-30.583749656593994,29.157917,2915.7917,1.0643501,0.027121121,5.05,0.0,0.52,27.2,-4.65,2739.5044
54,17.58208326482868,-30.750416322594,130.31068,13031.068,0.46167648,inf,5.05,0.0,0.52,27.2,-4.65,28225.541
55,17.665416597828674,-28.833749663594,68.91372,6891.372,9.812749,0.011643605,7.15,0.0,0.62,-0.47,-0.82,702.2876
56,17.665416597828674,-29.167082995593994,58.756668,5875.667,9.2748995,0.015664844,7.15,0.0,0.62,-0.47,-0.82,633.50195
57,17.665416597828674,-29.333749661594,393.05707,39305.707,7.966297,0.019774562,7.15,0.0,0.62,-0.47,-0.82,4933.9995
58,17.665416597828674,-29.500416327594003,372.978,37297.8,1.5910747,0.01256835,2.6,0.0,0.54,-8.36,-3.97,23441.893
59,17.665416597828674,-29.583749660594,251.52408,25152.408,2.7144008,0.015348798,2.6,0.0,0.54,-8.36,-3.97,9266.284
60,17.665416597828674,-29.667082993594,60690.14,6069014.0,13.480133,0.021384723,2.6,0.0,0.54,-8.36,-3.97,450219.16
61,17.665416597828674,-29.833749659593998,113.4314,11343.14,4.102351,0.013437848,2.6,0.0,0.54,-8.36,-3.97,2765.0337
62,17.665416597828674,-30.083749658593995,22819.686,2281968.5,2.046753,0.025925817,2.6,0.0,0.54,-8.36,-3.97,1114921.4
63,17.665416597828674,-30.500416323594,57.18616,5718.616,2.4405336,0.026543908,5.05,0.0,0.52,27.2,-4.65,2343.1826
64,17.665416597828674,-30.750416322594,2.2746387,227.46387,5.909165,0.034957185,5.05,0.0,0.52,27.2,-4.65,38.493404
65,17.74874993082868,-29.083749662593995,33.4547,3345.4702,0.4167488,0.021539055,7.15,0.0,0.62,-0.47,-0.82,8027.5464
66,17.74874993082868,-29.167082995593994,33709.188,3370918.8,0.61919653,0.0151539305,7.15,0.0,0.62,-0.47,-0.82,5444020.5
67,17.74874993082868,-29.250416328593996,782743.1,78274310.0,8040.64,0.23921072,7.15,0.0,0.62,-0.47,-0.82,9734.836
68,17.74874993082868,-29.417082994594,26.38624,2638.624,70.31428,0.033871733,7.15,0.0,0.62,-0.47,-0.82,37.52615
69,17.74874993082868,-29.667082993594,1149.7645,114976.45,2.8022742,0.024402991,2.6,0.0,0.54,-8.36,-3.97,41029.695
70,17.74874993082868,-29.750416326594,4304.521,430452.1,2.582977,0.015896708,2.6,0.0,0.54,-8.36,-3.97,166649.6
71,17.74874993082868,-29.833749659593998,7383.54,738354.0,58.573326,0.015111677,2.6,0.0,0.54,-8.36,-3.97,12605.636
72,17.74874993082868,-30.250416324594,1810.27,181027.0,8.865795,0.018893369,2.6,0.0,0.54,-8.36,-3.97,20418.586
73,17.74874993082868,-30.417082990594004,69.17988,6917.988,1.5197387,0.021137604,2.6,0.0,0.54,-8.36,-3.97,4552.0903
74,17.74874993082868,-30.750416322594,112.54671,11254.671,5.425287,0.035852525,5.05,0.0,0.52,27.2,-4.65,2074.4841
75,17.74874993082868,-30.833749655593994,155.9017,15590.17,0.7701843,0.032510396,5.05,0.0,0.52,27.2,-4.65,20242.129
76,17.83208326382868,-29.083749662593995,141.47598,14147.598,0.68278795,0.025305843,7.15,0.0,0.62,-0.47,-0.82,20720.338
77,17.83208326382868,-29.250416328593996,343.9007,34390.07,0.8081948,0.03631753,7.15,0.0,0.62,-0.47,-0.82,42551.707
78,17.83208326382868,-29.417082994594,35876.684,3587668.5,1.6622721,0.029815033,7.15,0.0,0.62,-0.47,-0.82,2158292.0
79,17.83208326382868,-29.500416327594003,40723.336,4072333.5,3.8611612,0.03140776,2.6,0.0,0.54,-8.36,-3.97,1054691.4
80,17.83208326382868,-29.583749660594,462589.9,46258990.0,1920.0555,0.29268008,2.6,0.0,0.54,-8.36,-3.97,24092.527
81,17.83208326382868,-29.667082993594,3034.2139,303421.38,5945.6235,0.3127561,2.6,0.0,0.54,-8.36,-3.97,51.032726
82,17.83208326382868,-29.750416326594,2944.9055,294490.56,32.619682,0.036556,2.6,0.0,0.54,-8.36,-3.97,9028.002
83,17.83208326382868,-29.833749659593998,861.23364,86123.37,23.122004,0.02037119,2.6,0.0,0.54,-8.36,-3.97,3724.7363
84,17.83208326382868,-30.000416325593996,67.30113,6730.1133,5.1544847,0.01628245,2.6,0.0,0.54,-8.36,-3.97,1305.6812
85,17.83208326382868,-30.083749658593995,646.85565,64685.562,4.327945,0.014665028,2.6,0.0,0.54,-8.36,-3.97,14946.021
86,17.83208326382868,-30.167082991593997,5715.6523,571565.25,17.9947,0.017674576,2.6,0.0,0.54,-8.36,-3.97,31762.979
