,Long,Lat,GDP_PPP_mean,GDP_PPP_sum,population,nightlight,days_heat_index,pc
0,16.665416601828678,-28.750416330594,25.461824,2546.1824,0.47134438,0.04444565,0.0,5401.9575
1,16.665416601828678,-28.833749663594,138.85211,13885.212,0.99074686,0.055382814,0.0,14014.894
2,16.74874993482868,-28.833749663594,11.21833,1121.833,0.14641832,0.039770886,0.0,7661.835
3,16.74874993482868,-28.917082996594,16.492558,1649.2557,0.50985783,0.041680243,0.0,3234.7366
4,16.83208326782868,-28.417082998593997,119349.97,11934997.0,1.5838404,0.11410065,0.0,7535479.5
5,16.915416600828678,-29.083749662593995,24.939322,2493.9321,0.23044366,0.031797305,0.0,10822.308
6,16.915416600828678,-29.167082995593994,38182.547,3818254.5,9.464097,0.23335879,0.0,403446.25
7,16.915416600828678,-29.250416328593996,758729.7,75872970.0,5024.556,inf,0.0,15100.432
8,16.99874993382868,-28.417082998593997,86705.93,8670593.0,1014.6024,0.02965787,0.0,8545.804
9,16.99874993382868,-29.167082995593994,24.21277,2421.277,0.19055718,0.040088262,0.0,12706.302
10,16.99874993382868,-29.250416328593996,177.48358,17748.357,0.8265599,0.054538954,0.0,21472.56
11,16.99874993382868,-29.333749661594,937.3601,93736.01,0.7768692,0.046713803,0.0,120658.68
12,17.08208326682868,-28.417082998593997,5.118569,511.85687,0.3892265,0.00927656,0.0,1315.0618
13,17.08208326682868,-28.917082996594,2.5616698,256.167,0.068982236,0.03305632,0.0,3713.5212
14,17.08208326682868,-29.417082994594,1157.059,115705.9,0.8954141,0.034660377,0.0,129220.55
15,17.165416599828678,-28.917082996594,25751.84,2575184.0,0.045118406,0.019525,0.0,57076130.0
16,17.165416599828678,-29.000416329593996,7347.366,734736.6,0.059157204,0.02697513,0.0,12420070.0
17,17.165416599828678,-29.167082995593994,37.505646,3750.5645,0.114172906,0.0346798,0.0,32849.863
18,17.165416599828678,-29.250416328593996,39.253056,3925.3057,0.36099026,0.040619124,0.0,10873.717
19,17.165416599828678,-29.667082993594,6753.8535,675385.4,3.67562,0.047240354,0.0,183747.33
20,17.165416599828678,-29.750416326594,3845.922,384592.22,32.76327,0.03897745,0.0,11738.517
21,17.165416599828678,-29.833749659593998,110.293655,11029.365,4.3335843,0.03306442,0.0,2545.0908
22,17.24874993282868,-28.667082997593997,37.125607,3712.5605,3.1523757,0.013157907,0.0,1177.7024
23,17.24874993282868,-28.750416330594,48561.523,4856152.5,0.11298961,0.016061306,0.0,42978750.0
24,17.24874993282868,-29.500416327594003,96.41255,9641.255,0.8578268,0.032287586,0.0,11239.162
25,17.24874993282868,-29.583749660594,21.000818,2100.0818,8.811524,0.037812263,0.0,238.33354
26,17.24874993282868,-29.750416326594,5199.5854,519958.53,0.8579582,0.033758506,0.0,606041.8
27,17.24874993282868,-29.833749659593998,303.0382,30303.822,19.122244,0.03295898,0.0,1584.742
28,17.24874993282868,-29.917082992593997,14.064393,1406.4393,10.127908,0.034422427,0.0,138.8677
29,17.33208326582868,-28.667082997593997,38.47913,3847.913,0.7350965,0.006692916,0.0,5234.5684
30,17.33208326582868,-28.750416330594,48572.785,4857278.5,0.08194329,0.011856482,0.0,59276100.0
31,17.33208326582868,-29.750416326594,2.3302147,233.02148,5.3003607,0.031244729,0.0,43.963326
32,17.33208326582868,-29.833749659593998,629.2888,62928.883,1.2273374,0.033907715,0.0,51272.688
33,17.33208326582868,-30.167082991593997,8705.112,870511.25,41.329327,0.04551618,0.0,21062.797
34,17.33208326582868,-30.250416324594,45002.355,4500235.5,1.4689609,0.039747432,0.0,3063550.2
35,17.33208326582868,-30.333749657594,1847.3484,184734.84,9.405934,inf,0.0,19640.244
36,17.415416598828678,-29.000416329593996,1.8509858,185.09857,0.07113186,0.02187439,0.0,2602.1892
37,17.415416598828678,-30.333749657594,3361.1616,336116.16,1.3115886,0.037407555,0.0,256266.44
38,17.415416598828678,-30.417082990594004,10648.497,1064849.8,0.7153837,0.0306357,0.0,1488501.5
39,17.498749931828677,-29.000416329593996,2.131404,213.14038,0.7105139,0.009950036,0.0,299.9806
40,17.498749931828677,-29.667082993594,13199.079,1319907.9,200.24142,0.02521579,0.0,6591.5825
41,17.498749931828677,-29.750416326594,392897.7,39289770.0,370.28143,0.028309355,0.0,106107.85
42,17.498749931828677,-29.833749659593998,95405.01,9540501.0,3414.352,0.061999086,0.0,2794.2346
43,17.498749931828677,-30.417082990594004,178.55621,17855.621,7.1427827,0.026730722,0.0,2499.813
44,17.58208326482868,-29.000416329593996,2.131404,213.14038,0.6486537,0.010232423,0.0,328.58887
45,17.58208326482868,-29.500416327594003,203.94478,20394.479,8.122678,0.013098874,0.0,2510.8074
46,17.58208326482868,-29.583749660594,176.13791,17613.791,2.8799186,0.014707838,0.0,6116.0728
47,17.58208326482868,-29.667082993594,29540.074,2954007.5,316.57312,0.102171384,0.0,9331.201
48,17.58208326482868,-29.833749659593998,22.187695,2218.7695,15.003725,0.020105906,0.0,147.88124
49,17.58208326482868,-30.083749658593995,3252.4082,325240.8,272.96725,0.03136246,0.0,1191.5012
50,17.58208326482868,-30.250416324594,274.7406,27474.06,2.2404888,0.023012126,0.0,12262.53
51,17.58208326482868,-30.333749657594,377.0107,37701.07,2.0764043,0.025355743,0.0,18156.902
52,17.58208326482868,-30.500416323594,118.92368,11892.368,1.9582888,0.024577035,0.0,6072.837
53,17.58208326482868,-30.583749656593994,29.157917,2915.7917,1.0643501,0.027121121,0.0,2739.5044
54,17.58208326482868,-30.750416322594,130.31068,13031.068,0.46167648,inf,0.0,28225.541
55,17.665416597828674,-28.833749663594,68.91372,6891.372,9.812749,0.011643605,0.0,702.2876
56,17.665416597828674,-29.167082995593994,58.756668,5875.667,9.2748995,0.015664844,0.0,633.50195
57,17.665416597828674,-29.333749661594,393.05707,39305.707,7.966297,0.019774562,0.0,4933.9995
58,17.665416597828674,-29.500416327594003,372.978,37297.8,1.5910747,0.01256835,0.0,23441.893
59,17.665416597828674,-29.583749660594,251.52408,25152.408,2.7144008,0.015348798,0.0,9266.284
60,17.665416597828674,-29.667082993594,60690.14,6069014.0,13.480133,0.021384723,0.0,450219.16
61,17.665416597828674,-29.833749659593998,113.4314,11343.14,4.102351,0.013437848,0.0,2765.0337
62,17.665416597828674,-30.083749658593995,22819.686,2281968.5,2.046753,0.025925817,0.0,1114921.4
63,17.665416597828674,-30.500416323594,57.18616,5718.616,2.4405336,0.026543908,0.0,2343.1826
64,17.665416597828674,-30.750416322594,2.2746387,227.46387,5.909165,0.034957185,0.0,38.493404
